,TaskTypeID,SubTaskTypeID,AppointmentStatus,LanguageID,ForcedAppointment,SameDayAsApplied,LobbyBureauID,DayNumberOfWeek,DayNumberOfMonth,AppHour,Attempts,Reschedules,NoShows
421,162,209,1,1,0,0.0,7,2.0,4.0,9,0.0,0.0,0.0
422,162,209,1,1,0,0.0,1,2.0,12.0,14,0.0,0.0,0.0
423,162,209,0,1,0,0.0,1,1.0,18.0,9,0.0,2.0,2.0
425,162,210,1,1,0,0.0,2,4.0,12.0,15,0.0,0.0,0.0
427,162,210,1,1,0,0.0,2,2.0,18.0,8,2.0,0.0,0.0
428,162,209,1,1,0,0.0,4,3.0,3.0,9,0.0,0.0,0.0
429,162,209,0,1,0,0.0,2,2.0,2.0,10,0.0,1.0,2.0
430,162,209,1,1,0,0.0,1,2.0,24.0,13,0.0,0.0,0.0
431,162,210,1,1,0,0.0,2,4.0,27.0,8,1.0,0.0,0.0
433,162,210,1,1,0,0.0,2,1.0,19.0,14,1.0,0.0,0.0
434,162,209,1,1,0,0.0,2,4.0,6.0,8,0.0,0.0,0.0
436,162,209,0,1,0,0.0,2,5.0,31.0,13,0.0,0.0,1.0
438,162,209,1,1,0,0.0,7,3.0,5.0,13,0.0,0.0,0.0
439,162,209,0,1,0,0.0,1,5.0,12.0,12,0.0,0.0,1.0
440,162,209,1,1,1,0.0,7,3.0,5.0,8,0.0,0.0,0.0
441,162,209,1,1,0,0.0,5,2.0,14.0,9,0.0,0.0,0.0
442,162,209,0,1,0,0.0,2,4.0,14.0,8,0.0,0.0,1.0
443,162,210,1,1,0,0.0,6,3.0,5.0,13,1.0,0.0,0.0
